Public Authority,Category,Foi Email,Website
Blaenau Gwent County Borough,Council (Borough/Disctrict/City),info@blaenau-gwent.gov.uk,http://www.blaenau-gwent.gov.uk/398.asp
Bridgend County Borough Council,Council (Borough/Disctrict/City),foi@bridgend.gov.uk,http://www.bridgend.gov.uk/web/groups/public/documents/services/003176.hcsp
Buckinghamshire County Council,Council (Borough/Disctrict/City),foi@buckscc.gov.uk,http://www.buckscc.gov.uk/bcc/foi/freedom_of_information_act.page
Caerphilly County Borough Council,Council (Borough/Disctrict/City),foi@caerphilly.gov.uk,http://www.caerffili.gov.uk/site.aspx?s=+fF2hMF66Fm2FYYyp9h7P8vix2H3n7yzG+RNGNGe5kqHFv5zQqbfuw==
Cambridgeshire County Council,Council (Borough/Disctrict/City),foi@cambridgeshire.gov.uk,http://www.cambridgeshire.gov.uk/council/access/foi/
Carmarthenshire County Council,Council (Borough/Disctrict/City),foia@carmarthenshire.gov.uk,http://www.carmarthenshire.gov.uk/english/council/pages/freedomofinformation.aspx
Ceredigion County Council,Council (Borough/Disctrict/City),foi@ceredigion.gov.uk,http://www.ceredigion.gov.uk/index.cfm?articleid=11640
City & County of Swansea,Council (Borough/Disctrict/City),freedomofinformation@swansea.gov.uk,http://www.swansea.gov.uk/index.cfm?articleid=6037
Conwy County Borough Council,Council (Borough/Disctrict/City),ad,http://www.conwy.gov.uk/section.asp?cat=666&Language=1
Cumbria County Council,Council (Borough/Disctrict/City),information.governance@cumbria.gov.uk,http://www.cumbria.gov.uk/council-democracy/accesstoinformation/foi/default.asp
Derbyshire County Council,Council (Borough/Disctrict/City),access2info@derbyshire.gov.uk,http://www.derbyshire.gov.uk/global/publication_scheme/default.asp
Devon County Council,Council (Borough/Disctrict/City),accesstoinformation-mailbox@devon.gov.uk,http://www.devon.gov.uk/freedom_of_information
Dorset County Council,Council (Borough/Disctrict/City),foi@dorsetcc.gov.uk,http://www.dorsetforyou.com/foi
Durham County Council,Council (Borough/Disctrict/City),foi@durham.gov.uk,http://www.durham.gov.uk/pages/Service.aspx?ServiceId=722
East Sussex County Council,Council (Borough/Disctrict/City),foi@eastsussex.gov.uk,http://www.eastsussex.gov.uk/yourcouncil/about/keydocuments/foi/default.htm
Essex County Council,Council (Borough/Disctrict/City),YourRightToKnow@essex.gov.uk,http://www.essex.gov.uk/Your-Council/Your-Right-Know/Pages/Making-Freedom-of-Information-request.aspx
Flintshire County Council,Council (Borough/Disctrict/City),foi@flintshire.gov.uk,http://www.flintshire.gov.uk/wps/portal/english/services?WCM_GLOBAL_CONTEXT=/web+content/Flintshire/English/Services/100004/200031
Gloucestershire County Council,Council (Borough/Disctrict/City),foi@gloucestershire.gov.uk,http://www.gloucestershire.gov.uk/foi
Hampshire County Council *,Council (Borough/Disctrict/City),FOI@hants.gov.uk,http://www3.hants.gov.uk/service722
