Public Authority,Category,Foi Email
London Borough of Barking & Dagenham,London Borough,foi@lbbd.gov.uk
London Borough of Barnet,London Borough,foi@barnet.gov.uk
London Borough of Bexley,London Borough,foi@bexley.gov.uk
London Borough of Brent,London Borough,foi@brent.gov.uk
London Borough of Bromley,London Borough,data.protection@bromley.gov.uk
London Borough of Camden,London Borough,foi@camden.gov.uk
London Borough of Croydon,London Borough,FOI@croydon.gov.uk
London Borough of Ealing,London Borough,foirequests@ealing.gov.uk
London Borough of Enfield,London Borough,complaintsandinformation@enfield.gov.uk
London Borough of Greenwich,London Borough,foi@royalgreenwich.gov.uk
London Borough of Hackney,London Borough,informationmanagement@hackney.gov.uk
London Borough of Hammersmith & Fulham,London Borough,handfintouch@lbhf.gov.uk
London Borough of Haringey,London Borough, foi@haringey.gov.uk
London Borough of Harrow,London Borough,harrow@icaseworkmail.com
London Borough of Havering,London Borough,accessinfo@havering.gov.uk
London Borough of Hillingdon,London Borough,foi@hillingdon.gov.uk
London Borough of Hounslow,London Borough,foi@hounslow.gov.uk
London Borough of Islington,London Borough,foia@islington.gov.uk
London Borough of Lambeth,London Borough,foi@lambeth.gov.uk
London Borough of Lewisham,London Borough,freedom.information@lewisham.gov.uk
London Borough of Merton,London Borough,foi@merton.gov.uk
London Borough of Newham,London Borough,information.governance@newham.gov.uk
London Borough of Redbridge,London Borough,data.protection@redbridge.gov.uk
London Borough of Richmond upon Thames,London Borough,foi@richmond.gov.uk
London Borough of Southwark,London Borough,accessinfo@southwark.gov.uk
London Borough of Sutton,London Borough,FOI@sutton.gov.uk
London Borough of Tower Hamlets,London Borough,foi@towerhamlets.gov.uk
London Borough of Waltham Forest,London Borough,Information.Officer@walthamforest.gov.uk
London Borough of Wandsworth,London Borough,foi@wandsworth.gov.uk
City of London,London Borough, information.officer@cityoflondon.gov.uk
City of Westminster,London Borough,foi@westminster.gov.uk
Kensington and Chelsea,London Borough,foi@rbkc.gov.uk
Kingston upon Thames,London Borough,foi@rbk.kingston.gov.uk
