Public Authority,Category,Foi Email,Website
Attorney General's Office,Central Government - Ministerial Departments,correspondence@attorneygeneral.gsi.gov.uk,http://www.attorneygeneral.gov.uk/GuidetoInformation/Pages/default.aspx
"Cabinet Office covers - also covers FOI emails for the following:     * Prime Minister's Office
   * Office of the Leader of the House of Commons
   * Office of the Leader of the House of Lords
   * Office of the Government Chief Whip (House of Commons)
   * Office of the Government Chief Whip (House of Lords)",Central Government - Ministerial Departments,foi-team@cabinetoffice.gov.uk,http://www.cabinetoffice.gov.uk/content/freedom-information-foi
,,,
,,,
,,,
,,,
,,,
"Department for Business, Energy & Industrial Strategy",Central Government - Ministerial Departments,foi.requests@beis.gov.uk,https://www.gov.uk/government/organisations/department-for-business-energy-and-industrial-strategy
Department for Communities and Local Government,Central Government - Ministerial Departments,dclgkia@icasework.fcos.gsi.gov.uk,www.communities.gov.uk/corporate/foi/
"Department for Culture, Media and Sport",Central Government - Ministerial Departments,foi@culture.gov.uk,http://www.culture.gov.uk/about_us/freedom_of_information/4928.aspx
Department for Education,Central Government - Ministerial Departments,ministers@education.gsi.gov.uk,http://www.education.gov.uk/aboutdfe/foi
"Department for Environment, Food and Rural Affairs",Central Government - Ministerial Departments,defra.helpline@defra.gsi.gov.uk,http://www.defra.gov.uk/corporate/about/how/opengov/
Department for International Development ,Central Government - Ministerial Departments,foi@dfid.gov.uk,http://www.drdni.gov.uk/index/freedom_of_information/foi-act.htm
Department for Transport ,Central Government - Ministerial Departments,foi-advice-team-dft@dft.gsi.gov.uk,http://www.dft.gov.uk/foi/
Department for Work and Pensions,Central Government - Ministerial Departments,freedom-of-information-request@dwp.gsi.gov.uk,http://www.dwp.gov.uk/freedom-of-information/
Department for International Trade,Central Government - Ministerial Departments,FOI@trade.gov.uk,https://www.gov.uk/government/organisations/department-for-international-trade
Department of Health,Central Government - Ministerial Departments,freedomofinformation@dhsc.gov.uk,http://transparency.dh.gov.uk/category/foi/
Foreign and Commonwealth Office,Central Government - Ministerial Departments,foi-dpa.imd@fco.gov.uk,http://www.fco.gov.uk/en/publications-and-documents/freedom-of-information/
Her Majesty's Treasury,Central Government - Ministerial Departments,public.enquiries@hmtreasury.gsi.gov.uk,http://www.hm-treasury.gov.uk/freedom_of_information_act2000.htm
Home Office - also covers: Government Equalities Office,Central Government - Ministerial Departments,foirequests@homeoffice.gsi.gov.uk,http://www.homeoffice.gov.uk/about-us/freedom-of-information/
Ministry of Defence,Central Government - Ministerial Departments,CIO-FOI@mod.uk ,http://www.mod.uk/defenceinternet/freedomofinformation/
Ministry of Justice,Central Government - Ministerial Departments, data.access@justice.gsi.gov.uk,http://www.justice.gov.uk/information-access-rights/foi-requests
Northern Ireland Office,Central Government - Ministerial Departments,foi@nio.gov.uk,http://www.nio.gov.uk/index/foi.htm
Scotland Office,Central Government - Ministerial Departments,somincorr@scotland.gsi.gov.uk,http://www.scotlandoffice.gov.uk/scotlandoffice/65.html
Wales Office ,Central Government - Ministerial Departments,walesofficefoi@walesoffice.gsi.gov.uk,http://www.walesoffice.gov.uk/foi/
Department for Exiting the European Union,Central Government - Ministerial Departments,foi@dexeu.gov.uk,https://www.gov.uk/government/organisations/department-for-exiting-the-european-union
